LastModified,ProcessLevelCode,ProcessLevel,Level1,Leve1Code,level2,level2code
"2026-05-29 10:33:05.2736610","P12691-BXNLvwnl","NOCCO global recycling bin","POS","104","Products",
"2026-07-09 20:11:23.1041050","VM0023vmus","Collagen Hydrolysate PeptiplusXB",,"108","Products",
"2026-01-13 08:56:50.8768110","1051-NLvwbe","Vitamin Well Reload 500ml 6-pack","Products","100","Products",
"2026-06-11 11:42:37.4493450","B1142vwab","Barebells Bars New Spread 45g 12-pack",,,"Products",
"2026-03-26 09:54:18.1480250","P12794bbde","Huv VW Floor Stand",,,"Products",
"2026-01-23 09:41:13.7166720","CA00009bbca","Floor Stand 50 CT Soft CA","Products","100","Display","03"
"2026-07-03 12:45:32.2985540","NC6680-PTvwab","NOCCO Electrolyte Blood Orange 355ml 24-pack",,,"Products",
"2026-05-19 08:54:59.5365250","B1132-GBDKNOppdk","Barebells Bars Raspberry Gelato 55g 12-pack",,,"Products",
"2026-05-07 11:41:04.0908450","B1135-GBDKNOvwuk","Barebells Bars Limited Edition 4 55g 12-pack",,,"Products",
"2026-07-15 11:41:17.7068020","P13039bbde","Barebells Holiday Calendar 2026: Well Insert",,,"Products",
"2026-03-25 14:38:58.2139270","VW1006-DKvwab","Vitamin Well Defence 1,15l 6-pack","Products","100","Products",
"2026-02-25 09:24:31.4706380","ESP029vdes","TOTEM BB COOKIES & CREAM 535X1830MM","Products","100","Products",
"2026-05-29 10:33:05.2736610","P12691-BXNLvwbe","NOCCO global recycling bin","POS","104","Products",
"2026-06-15 08:13:05.4448380","NC6780-SEvwab","NOCCO Fall Edition w.37 330ml 24-pack",,,"Products",
"2026-03-26 09:54:18.1480250","P12796bbde","Huv NOCCO Floor Stand",,,"Products",
"2026-02-16 09:12:31.8012540","VW1211-SGvwab","Vitamin Well Activate 500ml 24-pack",,,"Products",
"2026-07-28 10:57:20.8562160","NC6090-PTvdes","NOCCO Apple BCAA+ 330ml 24-pack",,,"Products",
"2026-05-07 11:41:04.0908450","B1142-GBDKNOvwuk","Barebells Bars New Spread 45g 12-pack","Products","100","Products",
"2026-07-15 11:57:33.8172490","P13039vwuk","Barebells Holiday Calendar 2026: Well Insert","POS","104","Products",
"2026-03-25 14:38:58.2139270","VW1096-DKvwab","Vitamin Well Hydrate 1,15l 6-pack","Products","100","Products",
"2026-02-25 09:24:31.4706380","ESP030vdes","TOTEM NOCCO MIAMI 535X1830MM",,,"Products",
"2026-07-03 12:59:11.5768880","B1076-MXvwab","Barebells Bars Cookies and Caramel 55g 12-pack",,,"Products",
"2026-07-09 20:11:23.1041050","VM0025vmus","Milk Maltitol Chocolate No Sugar",,"108","Products",
"2026-04-20 11:26:24.1053560","NC6780-FIvwab","NOCCO Fall Edition w.37 330ml 24-pack",,,"Products",
"2026-03-26 09:54:18.1480250","P12797bbde","Huv Barebells Floor Stand Bars",,,"Products",
"2026-04-09 08:09:05.3223760","P10557vdes","Cube Cardboard Vitamin Well Generic","POS","104","Products",
"2026-02-16 09:12:31.8012540","VW1061-SGvwab","Vitamin Well Antioxidant 500ml 24-pack",,,"Products",
"2026-07-28 10:57:20.8562160","NC6500-PTvdes","NOCCO Focus Grand Sour 180mg 330ml 24-pack",,,"Products",
"2026-07-15 11:41:17.7068020","P13039vdes","Barebells Holiday Calendar 2026: Well Insert",,,"Products",
"2026-03-05 10:54:12.8011100","VW1006-DKppdk","Vitamin Well Defence 1,15l 6-pack","Products","100","Products",
"2026-02-25 09:24:31.4706380","ESP031vdes","TOTEM VW 535X1830MM","Products","100","Products",
"2026-05-29 14:19:41.6367590","B2327vwab","Tyngre Tomtegröt New 2026",,,"Products",
"2026-07-09 20:11:23.1041050","VM0026vmus","Dark Maltitol Chocolate No Sugar",,"108","Products",
"2026-08-03 12:02:17.5615920","B1505vwab","Barebells Protein Soda smak 1 2026 355ml 12-pack","Products","100","Products",
"2026-03-26 09:54:18.1480250","P12798bbde","Huv Barebells Floor Stand Bars Thin",,,"Products",
"2026-04-09 08:24:38.0770930","P10558vdes","Cube Cardboard Barebells Generic",,,"Products",
"2026-02-16 09:12:31.8012540","VW1011-SGvwab","Vitamin Well Care 500ml 24-pack",,,"Products",
"2026-07-28 10:57:20.8562160","NC6400-PTvdes","NOCCO Focus Ramonade 180mg 330ml 24-pack",,,"Products",
"2026-07-16 14:14:51.8522040","P13039bbfr","Barebells Holiday Calendar 2026: Well Insert","POS","104","Products",
"2026-02-10 15:09:37.8824720","FR0016bbfr","Display Nocco FR 2026","Products","100","Display","03"
"2026-03-05 10:54:12.8011100","VW1096-DKppdk","Vitamin Well Hydrate 1,15l 6-pack","Products","100","Products",
"2026-02-25 09:24:31.4706380","ESP032vdes","TOTEM NOCCO FOCUS 535X1830MM",,,"Products",
"2026-07-08 14:44:31.0078690","B2328vwab","Tyngre Vassle Vit Choklad/Kokos 900g 6-pack",,,"Products",
"2026-07-09 20:11:23.1041050","VM0027vmus","White Maltitol Chocolate No Sugar",,"108","Products",
"2026-07-02 08:47:23.5734700","6342-ISbbde","NOCCO Skumnisse 105mg 330ml 24-pack",,,"Products",
"2026-08-03 12:02:17.5615920","B1506vwab","Barebells Protein Soda smak 2 2026 355ml 12-pack","Products","100","Products",
"2026-03-26 09:54:18.1480250","P12799bbde","Huv Barebells Floor Stand Milkshakes",,,"Products",
"2026-04-09 08:24:38.0770930","P10559vdes","Cube Cardboard NOCCO Generic",,,"Products",
"2026-02-16 09:12:31.8012540","VW1051-SGvwab","Vitamin Well Reload 500ml 24-pack",,,"Products",
"2026-07-28 10:57:20.8562160","NC6360-PTvdes","NOCCO Mango Del Sol 180mg 330ml",,,"Products",
"2026-07-30 09:28:15.6372460","P13039vwnl","Barebells Holiday Calendar 2026: Well Insert","POS","104","Products",
"2026-03-06 14:54:09.3746790","PNB07010ppdk","NÅBE Wobbler - Cool Pina TW2",,,"Products",
"2026-02-25 13:24:44.5328430","T2228tyab","Stockholm Marathon",,,"Products",
"2026-07-08 14:15:14.8638080","B2329vwab","Tyngre Kasein Vit Choklad/Kokos 750g 6-pack",,,"Products",
"2026-07-09 20:11:23.1041050","VM0028vmus","Glycerin No Palm",,"108","Products",
"2026-07-02 08:47:23.5734700","6140-NObbde","NOCCO Skumtomte 105mg 330ml 24-pack",,,"Products",
"2026-08-03 12:02:17.5615920","B1507vwab","Barebells Protein Soda smak 3 2026 355ml 12-pack","Products","100","Products",
"2026-03-26 09:54:18.1480250","P12850bbde","VITAMIN WELL CROSS BOTTOM 12 TRAYS ¼ DISPLAY",,,"Products",
"2026-04-09 08:24:38.0770930","P10857vdes","2-pack NOCCO Kettlebell",,,"Products",
"2026-03-17 15:10:18.4969520","P3/116602-15vwch","Topper FR","POS","104","Products",
"2026-07-28 10:57:20.8562160","NC6260-PTvdes","NOCCO Miami 180mg 330ml 24-pack",,,"Products",
"2026-07-15 11:41:17.7068020","P13039vwch","Barebells Holiday Calendar 2026: Well Insert","POS","104","Products",
"2026-02-10 13:39:52.6916130","PVW07021ppdk","VW Wobbler - All Day TW2",,,"Products",
"2026-07-08 14:44:31.0078690","B2330vwab","Tyngre Vassle Chokladknäck 900g 6-pack",,,"Products",
"2026-07-09 20:11:23.1041050","VM0029vmus","Soy Crisp Supro 390 IP",,"108","Products",
"2026-07-24 12:14:05.6806100","6343-ISbbde","NOCCO Skumnisse 105mg 330ml 6-pack","Products","100","Products",
"2026-03-26 09:54:18.1480250","P12851bbde","VITAMIN WELL CROSS BOTTOM 16 TRAYS ¼ DISPLAY ",,,"Products",
"2026-04-09 08:24:38.0770930","P10904vdes","Hantelrack gym Sommartorg NOCCO",,,"Products",
"2026-07-01 12:59:52.2594510","N1/6000-08vwch","Topper DE","POS","104","Products",
"2026-07-28 10:57:20.8562160","NC6690-PTvdes","NOCCO Electrolyte Lemon Lime 355ml 24-pack","Products","100","Products",
"2026-07-09 20:11:23.1041050","9778vmus","Milk Protein Blend",,,"Products",
"2026-07-15 11:57:33.8172490","P13039vwbe","Barebells Holiday Calendar 2026: Well Insert","POS","104","Products",
"2026-05-29 14:19:41.6367590","B2327tyab","Tyngre Tomtegröt New 2026",,,"Products",
"2026-07-09 20:11:23.1041050","VM0030vmus","Soy Crisp 309 IP",,"108","Products",
"2026-06-09 06:58:33.4095720","6490-ISbbde","NOCCO Golden Era 105mg 330ml 24-pack",,,"Products",
"2026-07-27 11:27:07.3946690","NC6790-SEvwab","NOCCO Calendar 2026 Limited",,,"Pack","04"
"2026-07-02 08:47:23.5734700","P12852bbde","NOCCO CROSS BOTTOM 8 TRAYS ¼ DISPLAY",,,"Products",
"2026-04-09 08:24:38.0770930","P12691vdes","NOCCO global recycling bin",,,"Products",
"2026-07-01 12:59:52.2594510","N1/6000-09vwch","Topper FR","POS","104","Products",
"2026-07-28 10:57:20.8562160","NC6680-PTvdes","NOCCO Electrolyte Blood Orange 355ml 24-pack","Products","100","Products",
"2026-07-09 20:11:23.1041050","9779vmus","Bovine Collagen",,,"Products",
"2026-03-13 10:13:29.2502790","P12804vwab","VW Counter Display Plexi",,,"Products",
"2026-07-20 14:16:43.4500680","CH10024vwch","1/2 Vitamin Well DY VOLG","Products","100","Display","03"
"2026-05-06 14:13:30.9735850","B1125ppdk","Barebells Bars Pistachio Spread 45g 12-pack",,,"Products",
"2026-05-29 14:19:41.6367590","B2328tyab","Tyngre Vassle Vit Choklad/Kokos 900g 6-pack",,,"Products",
"2026-07-09 20:11:23.1041050","VM0031vmus","Soy Crisp Supro 320 IP",,"108","Products",
"2026-07-02 08:47:23.5734700","6600-ISbbde","NOCCO Focus Stellar Blend 105mg 330ml 24-pack",,,"Products",
"2026-06-24 16:13:03.1299630","B1147vwab","Barebells Christmas Calendar 2026",,,"Display","03"
"2026-03-26 09:54:18.1480250","P12853bbde","NOCCO CROSS BOTTOM 10 TRAYS ¼ DISPLAY ",,,"Products",
"2026-07-13 13:24:12.2820070","VM0105vmus","Glycerine Coconut Derived Vitusa",,,"Products",
"2026-04-09 08:24:38.0770930","P12912vdes","GYM COUNTER DISPLAY 2026 - FR","POS","104","Products",
"2026-04-01 10:25:31.6370140","N1/6000-05vwch","Zwischenboden","POS","104","Products",
"2026-07-30 09:28:15.6372460","P12797vwnl","Huv Barebells Floor Stand Bars","POS","104","Products",
"2026-07-09 20:11:23.1041050","9781vmus","NSA Milk Chocolate (RD2168D6) ALT 588HA",,,"Products",
"2026-01-30 12:54:51.2176440","9877vwab","Vanillin Flavour 261082",,,"Products",
"2026-08-03 08:20:42.5275700","P12781-1vwch","Topper DE","POS","104","Products",
"2026-04-16 12:24:45.2552050","B1142-DEFRNLvwab","Barebells Bars New Spread 45g 12-pack",,,"Products",
"2026-05-29 14:19:41.6367590","B2329tyab","Tyngre Kasein Vit Choklad/Kokos 750g 6-pack",,,"Products",
"2026-07-09 20:11:23.1041050","VM0032vmus","Soy Crisp Supro 570 IP",,"108","Products",
"2026-06-09 06:58:33.4095720","6601-ISbbde","NOCCO Focus Stellar Blend 105mg 330ml 6-pack","Products","100","Products",
"2026-06-04 07:55:14.2264060","B1148vwab","Barebells High Protein Bar Smak 1 60g 12-pack",,,"Products",
"2026-03-26 09:54:18.1480250","P12855bbde","BAREBELLS MILKSHAKE CROSS BOTTOM 24 TRAYS ¼ DISPLAY",,,"Products",
"2026-04-09 08:24:38.0770930","P12927vdes","NOCCO GYM DEPOSIT BIN GREY",,,"Products",
"2026-04-01 10:25:31.6370140","N1/6000-06vwch","Steckkreuz lang","POS","104","Products",
"2026-07-30 09:28:15.6372460","P13046vwnl","BB BARS FLOORSTAND ADAPTER","POS","104","Products",
"2026-07-09 20:11:23.1041050","9793vmus","Calcium Caseinate",,,"Products",
"2026-04-02 06:54:02.5112700","9878vwab","Golden Berries 150126",,,"Products",
